Age,Gender,Faculty,Housing_Arrangement,Main_Income_Source,Monthly_Income,Organised_Money_Management,More_of_a_Saver_Than_a_Spender,Prefer_to_Buy_on_Credit,Savings_for_Rainy_Day,Prefer_to_Live_for_Today,Compare_Prices_Before_Buying,Read_Agreement_Carefully,Avoid_Overspending,Money_Management_Difficulty,Monthly_Savings,Increase_Financial_Knowledge,Complaint_for_Unsuitable_Product
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,3,3,4,4,3,Yes,Yes,Sometimes,Sometimes,Always,Sometimes,Never
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,Below RM 99,1,2,5,2,3,Yes,Yes,Always,Sometimes,Always,Never,Never
21,Female,Other,Live with parents/relatives,Other,RM 100 - RM 500,4,3,3,5,3,Yes,Yes,Sometimes,Sometimes,Always,Always,Sometimes
21,Female,FSDK,Live with parents/relatives,Pocket money from parents,Above RM 600,3,3,2,2,3,Yes,Yes,Always,Sometimes,Always,Always,Always
21,Female,FKP,Off-campus rent (sharing house/flat),Pocket money from parents,Below RM 99,1,1,5,2,5,Yes,Yes,Always,Never,Always,Always,Always
21,Female,Other,Live with parents/relatives,Pocket money from parents,Above RM 600,3,4,5,2,4,Yes,Yes,Always,Sometimes,Always,Sometimes,Sometimes
26,Male,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,Below RM 99,4,4,3,3,3,Yes,Yes,Always,Sometimes,Sometimes,Sometimes,Sometimes
21,Female,FKP,Live with parents/relatives,Pocket money from parents,Below RM 99,3,3,5,2,5,Yes,Yes,Sometimes,Sometimes,Sometimes,Always,Always
21,Female,Other,On-campus (student accommodation),A part time job,RM 100 - RM 500,3,4,5,2,3,Yes,Yes,Sometimes,Always,Sometimes,Sometimes,Never
21,Female,Other,Off-campus rent (sharing house/flat),Pocket money from parents,Above RM 600,3,3,4,2,2,Yes,Yes,Always,Sometimes,Sometimes,Always,Always
21,Female,Other,Off-campus rent (sharing house/flat),Other,RM 100 - RM 500,2,1,4,1,3,Yes,Yes,Sometimes,Sometimes,Always,Always,Sometimes
21,Female,Other,On-campus (student accommodation),Pocket money from parents,RM 100 - RM 500,1,1,5,1,5,Yes,Yes,Always,Sometimes,Always,Always,Always
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,3,3,3,3,3,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
21,Female,FKP,On-campus (student accommodation),Scholarship,RM 100 - RM 500,1,1,1,1,1,Yes,Yes,Always,Always,Sometimes,Sometimes,Sometimes
21,Female,Other,On-campus (student accommodation),Pocket money from parents,RM 100 - RM 500,2,2,3,3,3,Yes,Yes,Always,Sometimes,Sometimes,Sometimes,Sometimes
21,Female,FKP,On-campus (student accommodation),Scholarship,RM 100 - RM 500,1,4,5,1,4,Yes,Yes,Always,Sometimes,Never,Never,Never
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,Above RM 600,4,4,5,4,4,Yes,Yes,Sometimes,Always,Sometimes,Never,Never
